script_name;model;configuration;start_time;end_time;delta_time
03_log_prediction_RFR_XGR.py;RFR;regression_RFR_FEATEXC-0_LLM-0;2024-03-11 11:09:35;2024-03-11 11:54:44;0:45:09
03_log_prediction_LSTM.py;LSTM;regression_LSTM_FEATEXC-0_LLM-0;2024-03-11 12:44:56;2024-03-11 17:29:14;4:44:18
03_log_prediction_RFR_XGR.py;XGR;regression_XGR_FEATEXC-0_LLM-0;2024-03-11 11:10:14;2024-03-11 17:30:00;6:19:46
03_log_prediction_RFR_XGR.py;RFR;regression_RFR_FEATEXC-1_LLM-0;2024-03-11 19:08:48;2024-03-11 19:54:01;0:45:13
03_log_prediction_LSTM.py;LSTM;regression_LSTM_FEATEXC-1_LLM-0;2024-03-11 23:13:56;2024-03-12 04:43:00;5:29:04
03_log_prediction_RFR_XGR.py;XGR;regression_XGR_FEATEXC-1_LLM-0;2024-03-11 23:13:39;2024-03-12 05:27:27;6:13:48
03_log_prediction_RFR_XGR.py;RFR;regression_RFR_FEATEXC-0_LLM-1;2024-03-12 06:59:28;2024-03-12 07:51:37;0:52:09
03_log_prediction_LSTM.py;LSTM;regression_LSTM_FEATEXC-0_LLM-1;2024-03-12 07:00:03;2024-03-12 11:26:16;4:26:13
03_log_prediction_RFR_XGR.py;XGR;regression_XGR_FEATEXC-0_LLM-1;2024-03-12 08:35:16;2024-03-12 15:12:53;6:37:37
03_log_prediction_RFR_XGR.py;RFR;regression_RFR_FEATEXC-0_LLM-0;2024-03-20 15:12:28;2024-03-20 16:14:14;1:01:46
