Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,amount,type
6390797C82,CREATION,SARDEGNA,2016-05-31 00:00:00.000,Variant 16,16,235273.21,SERVIZI
6390797C82,AWARD,SARDEGNA,2016-06-20 00:00:00.000,Variant 16,16,235273.21,SERVIZI
6390797C82,CONTRACT-START,SARDEGNA,2016-09-06 00:00:00.000,Variant 16,16,235273.21,SERVIZI
6390797C82,SUSPENSION,SARDEGNA,2017-01-16 00:00:00.000,Variant 16,16,235273.21,SERVIZI
6390797C82,VARIANT,SARDEGNA,2017-04-03 00:00:00.000,Variant 16,16,235273.21,SERVIZI
6390797C82,REPRISE,SARDEGNA,2017-04-04 00:00:00.000,Variant 16,16,235273.21,SERVIZI
6390797C82,CONTRACT-END,SARDEGNA,2017-06-01 00:00:00.000,Variant 16,16,235273.21,SERVIZI
6424595F7F,CREATION,TOSCANA,2016-04-18 00:00:00.000,Variant 1,1,81967.31,SERVIZI
6424595F7F,AWARD,TOSCANA,2016-08-03 00:00:00.000,Variant 1,1,81967.31,SERVIZI
6424595F7F,CONTRACT-START,TOSCANA,2016-09-15 00:00:00.000,Variant 1,1,81967.31,SERVIZI
6424595F7F,VARIANT,TOSCANA,2017-11-09 00:00:00.000,Variant 1,1,81967.31,SERVIZI
6424595F7F,CONTRACT-END,TOSCANA,2020-06-30 00:00:00.000,Variant 1,1,81967.31,SERVIZI
64875618B1,CREATION,TOSCANA,2016-02-15 00:00:00.000,Variant 1,1,176000.0,SERVIZI
64875618B1,AWARD,TOSCANA,2016-04-08 00:00:00.000,Variant 1,1,176000.0,SERVIZI
64875618B1,CONTRACT-START,TOSCANA,2018-03-31 00:00:00.000,Variant 1,1,176000.0,SERVIZI
64875618B1,VARIANT,TOSCANA,2018-12-04 00:00:00.000,Variant 1,1,176000.0,SERVIZI
64875618B1,CONTRACT-END,TOSCANA,2020-03-31 00:00:00.000,Variant 1,1,176000.0,SERVIZI
6499571FA6,CREATION,EMILIA ROMAGNA,2016-01-11 00:00:00.000,Variant 2,2,200000.0,SERVIZI
6499571FA6,AWARD,EMILIA ROMAGNA,2016-03-08 00:00:00.000,Variant 2,2,200000.0,SERVIZI
6499571FA6,CONTRACT-START,EMILIA ROMAGNA,2016-04-18 00:00:00.000,Variant 2,2,200000.0,SERVIZI
6499571FA6,VARIANT,EMILIA ROMAGNA,2017-10-06 00:00:00.000,Variant 2,2,200000.0,SERVIZI
6499571FA6,VARIANT,EMILIA ROMAGNA,2018-04-24 00:00:00.000,Variant 2,2,200000.0,SERVIZI
6499571FA6,CONTRACT-END,EMILIA ROMAGNA,2018-10-31 00:00:00.000,Variant 2,2,200000.0,SERVIZI
6499619745,CREATION,FRIULI VENEZIA GIULIA,2016-01-18 00:00:00.000,Variant 1,1,40983.61,SERVIZI
6499619745,AWARD,FRIULI VENEZIA GIULIA,2016-02-05 00:00:00.000,Variant 1,1,40983.61,SERVIZI
6499619745,CONTRACT-START,FRIULI VENEZIA GIULIA,2016-03-10 00:00:00.000,Variant 1,1,40983.61,SERVIZI
6499619745,VARIANT,FRIULI VENEZIA GIULIA,2016-07-04 00:00:00.000,Variant 1,1,40983.61,SERVIZI
6499619745,CONTRACT-END,FRIULI VENEZIA GIULIA,2016-10-24 00:00:00.000,Variant 1,1,40983.61,SERVIZI
6507983D74,CREATION,PUGLIA,2016-06-24 00:00:00.000,Variant 2,2,3597750.0,SERVIZI
6507983D74,AWARD,PUGLIA,2017-05-18 00:00:00.000,Variant 2,2,3597750.0,SERVIZI
6507983D74,CONTRACT-START,PUGLIA,2017-09-29 00:00:00.000,Variant 2,2,3597750.0,SERVIZI
6507983D74,VARIANT,PUGLIA,2020-10-02 00:00:00.000,Variant 2,2,3597750.0,SERVIZI
6507983D74,VARIANT,PUGLIA,2020-12-23 00:00:00.000,Variant 2,2,3597750.0,SERVIZI
6507983D74,CONTRACT-END,PUGLIA,2021-04-28 00:00:00.000,Variant 2,2,3597750.0,SERVIZI
650823094A,CREATION,EMILIA ROMAGNA,2016-01-22 00:00:00.000,Variant 137,137,612952.11,SERVIZI
650823094A,PUBLICATION-EU,EMILIA ROMAGNA,2016-01-27 00:00:00.000,Variant 137,137,612952.11,SERVIZI
650823094A,PUBLICATION-IT,EMILIA ROMAGNA,2016-01-29 00:00:00.000,Variant 137,137,612952.11,SERVIZI
650823094A,AWARD,EMILIA ROMAGNA,2016-06-09 00:00:00.000,Variant 137,137,612952.11,SERVIZI
650823094A,CONTRACT-START,EMILIA ROMAGNA,2016-09-12 00:00:00.000,Variant 137,137,612952.11,SERVIZI
650823094A,VARIANT,EMILIA ROMAGNA,2018-01-23 00:00:00.000,Variant 137,137,612952.11,SERVIZI
650823094A,VARIANT,EMILIA ROMAGNA,2018-01-29 00:00:00.000,Variant 137,137,612952.11,SERVIZI
650823094A,VARIANT,EMILIA ROMAGNA,2019-05-24 00:00:00.000,Variant 137,137,612952.11,SERVIZI
650823094A,VARIANT,EMILIA ROMAGNA,2019-07-22 00:00:00.000,Variant 137,137,612952.11,SERVIZI
650823094A,VARIANT,EMILIA ROMAGNA,2020-02-24 00:00:00.000,Variant 137,137,612952.11,SERVIZI
650823094A,CONTRACT-END,EMILIA ROMAGNA,2022-02-10 00:00:00.000,Variant 137,137,612952.11,SERVIZI
6517617BAF,CREATION,PA TRENTO,2016-04-16 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6517617BAF,PUBLICATION-EU,PA TRENTO,2016-04-16 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6517617BAF,AWARD,PA TRENTO,2016-09-21 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6517617BAF,CONTRACT-START,PA TRENTO,2016-10-15 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6517617BAF,STATUS,PA TRENTO,2017-01-31 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6517617BAF,STATUS,PA TRENTO,2018-01-31 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6517617BAF,STATUS,PA TRENTO,2019-01-31 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6517617BAF,STATUS,PA TRENTO,2019-04-30 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6517617BAF,CONTRACT-END,PA TRENTO,2019-06-30 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6517617BAF,VARIANT,PA TRENTO,2019-11-11 00:00:00.000,Variant 138,138,1560000.0,SERVIZI
6524113C5A,CREATION,PIEMONTE,2016-01-29 00:00:00.000,Variant 27,27,184585.0,SERVIZI
6524113C5A,AWARD,PIEMONTE,2016-03-30 00:00:00.000,Variant 27,27,184585.0,SERVIZI
