Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,amount,type,sector,framework,cpv
6358373762,CREATION,PROVINCIA AUTONOMA DI TRENTO,2016-03-15 00:00:00.000,Variant 8,8,142600.0,FORNITURE,ORDINARI,0,42
6358373762,AWARD,PROVINCIA AUTONOMA DI TRENTO,2016-04-14 00:00:00.000,Variant 8,8,142600.0,FORNITURE,ORDINARI,0,42
6358373762,CONTRACT-START,PROVINCIA AUTONOMA DI TRENTO,2016-06-28 00:00:00.000,Variant 8,8,142600.0,FORNITURE,ORDINARI,0,42
6358373762,VARIANT,PROVINCIA AUTONOMA DI TRENTO,2016-11-02 00:00:00.000,Variant 8,8,142600.0,FORNITURE,ORDINARI,0,42
6358373762,CONTRACT-END,PROVINCIA AUTONOMA DI TRENTO,2017-05-26 00:00:00.000,Variant 8,8,142600.0,FORNITURE,ORDINARI,0,42
6358373762,STATUS,PROVINCIA AUTONOMA DI TRENTO,2017-06-29 00:00:00.000,Variant 8,8,142600.0,FORNITURE,ORDINARI,0,42
64663676DA,CREATION,EMILIA ROMAGNA,2016-01-21 00:00:00.000,Variant 18,18,1071048.25,FORNITURE,ORDINARI,1,33
64663676DA,AWARD,EMILIA ROMAGNA,2016-01-21 00:00:00.000,Variant 18,18,1071048.25,FORNITURE,ORDINARI,1,33
64663676DA,CONTRACT-START,EMILIA ROMAGNA,2016-01-21 00:00:00.000,Variant 18,18,1071048.25,FORNITURE,ORDINARI,1,33
64663676DA,CONTRACT-END,EMILIA ROMAGNA,2017-05-30 00:00:00.000,Variant 18,18,1071048.25,FORNITURE,ORDINARI,1,33
64663676DA,STATUS,EMILIA ROMAGNA,2017-06-19 00:00:00.000,Variant 18,18,1071048.25,FORNITURE,ORDINARI,1,33
64663676DA,VARIANT,EMILIA ROMAGNA,2017-06-19 00:00:00.000,Variant 18,18,1071048.25,FORNITURE,ORDINARI,1,33
6478191454,CREATION,FRIULI VENEZIA GIULIA,2016-01-01 00:00:00.000,Variant 6,6,240000.0,FORNITURE,ORDINARI,1,9
6478191454,AWARD,FRIULI VENEZIA GIULIA,2016-01-01 00:00:00.000,Variant 6,6,240000.0,FORNITURE,ORDINARI,1,9
6478191454,CONTRACT-START,FRIULI VENEZIA GIULIA,2016-01-01 00:00:00.000,Variant 6,6,240000.0,FORNITURE,ORDINARI,1,9
6478191454,VARIANT,FRIULI VENEZIA GIULIA,2018-10-31 00:00:00.000,Variant 6,6,240000.0,FORNITURE,ORDINARI,1,9
6478191454,VARIANT,FRIULI VENEZIA GIULIA,2019-01-29 00:00:00.000,Variant 6,6,240000.0,FORNITURE,ORDINARI,1,9
6478191454,VARIANT,FRIULI VENEZIA GIULIA,2019-03-06 00:00:00.000,Variant 6,6,240000.0,FORNITURE,ORDINARI,1,9
6478191454,CONTRACT-END,FRIULI VENEZIA GIULIA,2019-03-15 00:00:00.000,Variant 6,6,240000.0,FORNITURE,ORDINARI,1,9
6496696B21,CREATION,CENTRALE,2016-01-15 00:00:00.000,Variant 5,5,160000.0,FORNITURE,ORDINARI,0,34
6496696B21,AWARD,CENTRALE,2016-05-04 00:00:00.000,Variant 5,5,160000.0,FORNITURE,ORDINARI,0,34
