Case ID,Events,Variant,Variant index,Started,Finished,Duration,Duration (milliseconds)
753066120D,15,"Variant 4,077",4077,08.05.2018 00:00:00,24.01.2049 00:00:00,"30 years, 269 days",969325200000
7835226908,5,Variant 3,3,20.03.2019 00:00:00,17.12.2029 00:00:00,"10 years, 275 days",339120000000
82327822A1,7,Variant 132,132,13.03.2020 00:00:00,04.12.2030 00:00:00,"10 years, 268 days",338515200000
65945055AD,8,Variant 56,56,17.02.2016 00:00:00,03.01.2023 00:00:00,"6 years, 322 days",217036800000
6660071075,5,Variant 1,1,16.04.2016 00:00:00,31.12.2022 00:00:00,"6 years, 260 days",211683600000
6711299323,20,"Variant 1,627",1627,25.08.2016 00:00:00,30.04.2023 00:00:00,"6 years, 249 days",210729600000
67024268E6,18,"Variant 1,611",1611,30.05.2016 00:00:00,31.12.2022 00:00:00,"6 years, 216 days",207882000000
6710883BD5,10,Variant 351,351,14.06.2016 00:00:00,03.01.2023 00:00:00,"6 years, 204 days",206845200000
67375355C4,18,"Variant 1,688",1688,28.06.2016 00:00:00,03.01.2023 00:00:00,"6 years, 190 days",205635600000
8620449B8C,7,Variant 41,41,19.02.2016 00:00:00,11.08.2022 00:00:00,"6 years, 174 days",204332400000
7288005BF9,6,Variant 6,6,28.09.2016 00:00:00,31.01.2023 00:00:00,"6 years, 126 days",200106000000
6734848C60,5,Variant 1,1,06.07.2016 00:00:00,31.10.2022 00:00:00,"6 years, 118 days",199414800000
673563235D,21,"Variant 1,686",1686,01.07.2016 00:00:00,30.09.2022 00:00:00,"6 years, 92 days",197164800000
68194471B1,20,"Variant 1,917",1917,03.10.2016 00:00:00,31.12.2022 00:00:00,"6 years, 90 days",196995600000
6787470D6C,12,"Variant 1,833",1833,31.08.2016 00:00:00,22.11.2022 00:00:00,"6 years, 84 days",196477200000
78879416D4,6,Variant 34,34,13.05.2019 00:00:00,31.07.2025 00:00:00,"6 years, 81 days",196214400000
788794494D,6,Variant 34,34,13.05.2019 00:00:00,31.07.2025 00:00:00,"6 years, 81 days",196214400000
