"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd";"concept:name";"time:timestamp";"@@index";"@@case_index";"case:concept:name"
"6358373762";"CREATION";"2016-03-15 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"142600.0";"FORNITURE";"ORDINARI";"0";"42";"470.96";"0";"CREATION";"2016-03-15 00:00:00+00:00";"0";"0";"6358373762"
"64663676DA";"CREATION";"2016-01-21 00:00:00+00:00";"EMILIA ROMAGNA";"1071048.25";"FORNITURE";"ORDINARI";"1";"33";"514.96";"0";"CREATION";"2016-01-21 00:00:00+00:00";"6";"1";"64663676DA"
"6478191454";"CREATION";"2016-01-01 00:00:00+00:00";"FRIULI VENEZIA GIULIA";"240000.0";"FORNITURE";"ORDINARI";"1";"9";"1169.0";"0";"CREATION";"2016-01-01 00:00:00+00:00";"12";"2";"6478191454"
"6496696B21";"CREATION";"2016-01-15 00:00:00+00:00";"CENTRALE";"160000.0";"FORNITURE";"ORDINARI";"0";"34";"1127.0";"0";"CREATION";"2016-01-15 00:00:00+00:00";"19";"3";"6496696B21"
"6498156FF4";"CREATION";"2016-04-15 00:00:00+00:00";"PROVINCIA AUTONOMA DI BOLZANO";"190000.0";"FORNITURE";"ORDINARI";"0";"30";"174.0";"0";"CREATION";"2016-04-15 00:00:00+00:00";"25";"4";"6498156FF4"
"6498307C91";"CREATION";"2016-01-08 00:00:00+00:00";"MARCHE";"269180.0";"FORNITURE";"ORDINARI";"1";"9";"417.0";"0";"CREATION";"2016-01-08 00:00:00+00:00";"30";"5";"6498307C91"
"650148397D";"CREATION";"2016-02-29 00:00:00+00:00";"EMILIA ROMAGNA";"58534.5";"FORNITURE";"ORDINARI";"1";"39";"486.96";"0";"CREATION";"2016-02-29 00:00:00+00:00";"35";"6";"650148397D"
"6502282CD7";"CREATION";"2016-01-08 00:00:00+00:00";"SICILIA";"45000.0";"FORNITURE";"ORDINARI";"0";"44";"873.96";"0";"CREATION";"2016-01-08 00:00:00+00:00";"40";"7";"6502282CD7"
"6503070720";"CREATION";"2016-01-07 00:00:00+00:00";"VENETO";"186570.36";"FORNITURE";"ORDINARI";"0";"45";"482.96";"0";"CREATION";"2016-01-07 00:00:00+00:00";"45";"8";"6503070720"
"6526374632";"CREATION";"2016-03-25 00:00:00+00:00";"EMILIA ROMAGNA";"54072.0";"FORNITURE";"ORDINARI";"0";"34";"411.96";"0";"CREATION";"2016-03-25 00:00:00+00:00";"52";"9";"6526374632"
"6532209564";"CREATION";"2016-01-04 00:00:00+00:00";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"0";"CREATION";"2016-01-04 00:00:00+00:00";"59";"10";"6532209564"
"6540050BFB";"CREATION";"2016-01-13 00:00:00+00:00";"SARDEGNA";"81040.5";"FORNITURE";"ORDINARI";"0";"37";"546.96";"0";"CREATION";"2016-01-13 00:00:00+00:00";"80";"11";"6540050BFB"
"6544129217";"CREATION";"2016-01-18 00:00:00+00:00";"CAMPANIA";"200000.0";"FORNITURE";"ORDINARI";"0";"34";"548.96";"0";"CREATION";"2016-01-18 00:00:00+00:00";"85";"12";"6544129217"
"654595334D";"CREATION";"2016-04-13 00:00:00+00:00";"SARDEGNA";"40983.6";"FORNITURE";"ORDINARI";"0";"39";"294.04";"0";"CREATION";"2016-04-13 00:00:00+00:00";"90";"13";"654595334D"
"654613055D";"CREATION";"2016-01-14 00:00:00+00:00";"CENTRALE";"1100000.0";"FORNITURE";"ORDINARI";"0";"38";"429.0";"0";"CREATION";"2016-01-14 00:00:00+00:00";"95";"14";"654613055D"
"6550408FAB";"CREATION";"2016-01-26 00:00:00+00:00";"EMILIA ROMAGNA";"140000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"0";"CREATION";"2016-01-26 00:00:00+00:00";"102";"15";"6550408FAB"
"6550416648";"CREATION";"2016-01-26 00:00:00+00:00";"EMILIA ROMAGNA";"136000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"0";"CREATION";"2016-01-26 00:00:00+00:00";"107";"16";"6550416648"
"6554284E3F";"CREATION";"2016-01-14 00:00:00+00:00";"EMILIA ROMAGNA";"300000.0";"FORNITURE";"ORDINARI";"1";"33";"778.0";"0";"CREATION";"2016-01-14 00:00:00+00:00";"112";"17";"6554284E3F"
"65607641BA";"CREATION";"2016-08-29 00:00:00+00:00";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"0";"CREATION";"2016-08-29 00:00:00+00:00";"117";"18";"65607641BA"
"6561106BF1";"CREATION";"2016-02-09 00:00:00+00:00";"PROVINCIA AUTONOMA DI BOLZANO";"200000.0";"FORNITURE";"ORDINARI";"1";"65";"445.96";"0";"CREATION";"2016-02-09 00:00:00+00:00";"130";"19";"6561106BF1"
"6561164BCE";"CREATION";"2016-01-21 00:00:00+00:00";"EMILIA ROMAGNA";"125631.0";"FORNITURE";"ORDINARI";"1";"33";"890.96";"0";"CREATION";"2016-01-21 00:00:00+00:00";"138";"20";"6561164BCE"
"656117333E";"CREATION";"2016-01-21 00:00:00+00:00";"EMILIA ROMAGNA";"1994309.12";"FORNITURE";"ORDINARI";"1";"33";"890.96";"0";"CREATION";"2016-01-21 00:00:00+00:00";"143";"21";"656117333E"
"6561183B7C";"CREATION";"2016-01-21 00:00:00+00:00";"EMILIA ROMAGNA";"203525.89";"FORNITURE";"ORDINARI";"1";"33";"890.96";"0";"CREATION";"2016-01-21 00:00:00+00:00";"152";"22";"6561183B7C"
"65672076A7";"CREATION";"2016-01-29 00:00:00+00:00";"CENTRALE";"11211660.3";"FORNITURE";"ORDINARI";"0";"48";"1332.96";"0";"CREATION";"2016-01-29 00:00:00+00:00";"157";"23";"65672076A7"
"6568067C57";"CREATION";"2016-01-26 00:00:00+00:00";"SARDEGNA";"51900.0";"FORNITURE";"ORDINARI";"0";"44";"198.96";"0";"CREATION";"2016-01-26 00:00:00+00:00";"169";"24";"6568067C57"
