"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd";"concept:name";"time:timestamp";"@@index";"@@case_index";"case:concept:name"
"6390797C82";"CREATION";"2016-05-31 00:00:00+00:00";"SARDEGNA";"235273.21";"SERVIZI";"ORDINARI";"0";"45";"366.0";"0";"CREATION";"2016-05-31 00:00:00+00:00";"0";"0";"6390797C82"
"6424595F7F";"CREATION";"2016-04-18 00:00:00+00:00";"TOSCANA";"81967.31";"SERVIZI";"ORDINARI";"0";"50";"1534.0";"0";"CREATION";"2016-04-18 00:00:00+00:00";"7";"1";"6424595F7F"
"64875618B1";"CREATION";"2016-02-15 00:00:00+00:00";"TOSCANA";"176000.0";"SERVIZI";"ORDINARI";"0";"50";"1505.96";"0";"CREATION";"2016-02-15 00:00:00+00:00";"12";"2";"64875618B1"
"6499571FA6";"CREATION";"2016-01-11 00:00:00+00:00";"EMILIA ROMAGNA";"200000.0";"SERVIZI";"ORDINARI";"0";"50";"1024.0";"0";"CREATION";"2016-01-11 00:00:00+00:00";"17";"3";"6499571FA6"
"6499619745";"CREATION";"2016-01-18 00:00:00+00:00";"FRIULI VENEZIA GIULIA";"40983.61";"SERVIZI";"ORDINARI";"0";"50";"279.96";"0";"CREATION";"2016-01-18 00:00:00+00:00";"23";"4";"6499619745"
"6507983D74";"CREATION";"2016-06-24 00:00:00+00:00";"PUGLIA";"3597750.0";"SERVIZI";"ORDINARI";"0";"85";"1769.0";"0";"CREATION";"2016-06-24 00:00:00+00:00";"28";"5";"6507983D74"
"650823094A";"CREATION";"2016-01-22 00:00:00+00:00";"EMILIA ROMAGNA";"612952.11";"SERVIZI";"ORDINARI";"0";"71";"2211.0";"0";"CREATION";"2016-01-22 00:00:00+00:00";"34";"6";"650823094A"
"6517617BAF";"CREATION";"2016-04-16 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"1560000.0";"SERVIZI";"ORDINARI";"0";"66";"1304.04";"0";"CREATION";"2016-04-16 00:00:00+00:00";"45";"7";"6517617BAF"
"6524113C5A";"CREATION";"2016-01-29 00:00:00+00:00";"PIEMONTE";"184585.0";"SERVIZI";"ORDINARI";"0";"90";"821.96";"0";"CREATION";"2016-01-29 00:00:00+00:00";"55";"8";"6524113C5A"
"6524989F3F";"CREATION";"2016-04-18 00:00:00+00:00";"TOSCANA";"387133.2";"SERVIZI";"ORDINARI";"0";"90";"668.04";"0";"CREATION";"2016-04-18 00:00:00+00:00";"61";"9";"6524989F3F"
"6526105835";"CREATION";"2016-01-18 00:00:00+00:00";"VENETO";"169600.0";"SERVIZI";"ORDINARI";"0";"90";"832.96";"0";"CREATION";"2016-01-18 00:00:00+00:00";"72";"10";"6526105835"
"6528667A6F";"CREATION";"2016-04-06 00:00:00+00:00";"CAMPANIA";"1418523.21";"SERVIZI";"ORDINARI";"0";"55";"450.0";"0";"CREATION";"2016-04-06 00:00:00+00:00";"77";"11";"6528667A6F"
"6531197244";"CREATION";"2016-02-11 00:00:00+00:00";"CENTRALE";"200000.0";"SERVIZI";"ORDINARI";"0";"90";"535.96";"0";"CREATION";"2016-02-11 00:00:00+00:00";"85";"12";"6531197244"
"6533365F57";"CREATION";"2016-01-09 00:00:00+00:00";"CENTRALE";"61417550.0";"SERVIZI";"ORDINARI";"0";"64";"1633.96";"0";"CREATION";"2016-01-09 00:00:00+00:00";"90";"13";"6533365F57"
"653414208F";"CREATION";"2016-03-21 00:00:00+00:00";"CAMPANIA";"1512000.0";"SERVIZI";"ORDINARI";"0";"85";"1865.96";"0";"CREATION";"2016-03-21 00:00:00+00:00";"113";"14";"653414208F"
"654440128D";"CREATION";"2016-01-08 00:00:00+00:00";"PIEMONTE";"138550.55";"SERVIZI";"ORDINARI";"0";"60";"258.96";"0";"CREATION";"2016-01-08 00:00:00+00:00";"135";"15";"654440128D"
"6544660847";"CREATION";"2016-01-08 00:00:00+00:00";"VALLE DAOSTA";"85000.0";"SERVIZI";"ORDINARI";"0";"90";"579.96";"0";"CREATION";"2016-01-08 00:00:00+00:00";"142";"16";"6544660847"
"6550823626";"CREATION";"2016-01-15 00:00:00+00:00";"PROVINCIA AUTONOMA DI BOLZANO";"416930.0";"SERVIZI";"ORDINARI";"0";"18";"1385.0";"0";"CREATION";"2016-01-15 00:00:00+00:00";"157";"17";"6550823626"
"6551716713";"CREATION";"2016-03-18 00:00:00+00:00";"SICILIA";"80000.0";"SERVIZI";"ORDINARI";"0";"71";"124.96";"0";"CREATION";"2016-03-18 00:00:00+00:00";"163";"18";"6551716713"
"655324767F";"CREATION";"2016-02-05 00:00:00+00:00";"TOSCANA";"201813.0";"SERVIZI";"ORDINARI";"0";"50";"937.96";"0";"CREATION";"2016-02-05 00:00:00+00:00";"168";"19";"655324767F"
"65549514AF";"CREATION";"2016-01-22 00:00:00+00:00";"UMBRIA";"195000.0";"SERVIZI";"ORDINARI";"0";"98";"1254.96";"0";"CREATION";"2016-01-22 00:00:00+00:00";"176";"20";"65549514AF"
"6555355214";"CREATION";"2016-01-15 00:00:00+00:00";"CENTRALE";"48000.0";"SERVIZI";"ORDINARI";"0";"98";"1126.0";"0";"CREATION";"2016-01-15 00:00:00+00:00";"182";"21";"6555355214"
"6559077192";"CREATION";"2016-02-05 00:00:00+00:00";"CENTRALE";"420000.0";"SERVIZI";"ORDINARI";"0";"64";"1651.96";"0";"CREATION";"2016-02-05 00:00:00+00:00";"187";"22";"6559077192"
"65598439AF";"CREATION";"2016-01-26 00:00:00+00:00";"CENTRALE";"98986.05";"SERVIZI";"ORDINARI";"0";"85";"1220.96";"0";"CREATION";"2016-01-26 00:00:00+00:00";"192";"23";"65598439AF"
"65636596C0";"CREATION";"2016-02-24 00:00:00+00:00";"CENTRALE";"187390.0";"SERVIZI";"ORDINARI";"0";"90";"1375.0";"0";"CREATION";"2016-02-24 00:00:00+00:00";"197";"24";"65636596C0"
"6564830D15";"CREATION";"2016-02-01 00:00:00+00:00";"PIEMONTE";"181300.0";"SERVIZI";"ORDINARI";"0";"90";"484.96";"0";"CREATION";"2016-02-01 00:00:00+00:00";"202";"25";"6564830D15"
"6566107AE6";"CREATION";"2016-02-02 00:00:00+00:00";"CENTRALE";"206810.0";"SERVIZI";"ORDINARI";"0";"90";"1243.96";"0";"CREATION";"2016-02-02 00:00:00+00:00";"208";"26";"6566107AE6"
"65671832DA";"CREATION";"2016-02-03 00:00:00+00:00";"PROVINCIA AUTONOMA DI BOLZANO";"187500.0";"SERVIZI";"ORDINARI";"0";"55";"1427.0";"0";"CREATION";"2016-02-03 00:00:00+00:00";"214";"27";"65671832DA"
"6568079640";"CREATION";"2016-02-03 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"126352.0";"SERVIZI";"ORDINARI";"0";"90";"877.96";"0";"CREATION";"2016-02-03 00:00:00+00:00";"219";"28";"6568079640"
"6568207FDE";"CREATION";"2016-03-01 00:00:00+00:00";"EMILIA ROMAGNA";"66900.0";"SERVIZI";"ORDINARI";"0";"71";"874.96";"0";"CREATION";"2016-03-01 00:00:00+00:00";"227";"29";"6568207FDE"
"6568745BD8";"CREATION";"2016-01-28 00:00:00+00:00";"CENTRALE";"110700.0";"SERVIZI";"ORDINARI";"0";"79";"734.0";"0";"CREATION";"2016-01-28 00:00:00+00:00";"233";"30";"6568745BD8"
"65705247ED";"CREATION";"2016-02-02 00:00:00+00:00";"CENTRALE";"197054.0";"SERVIZI";"ORDINARI";"0";"71";"381.0";"0";"CREATION";"2016-02-02 00:00:00+00:00";"238";"31";"65705247ED"
