"case_id";"case_id_length";"duration_dd"
"8479321D09";"6";"11.04"
"8475597BE5";"6";"16.04"
"7382388B4A";"6";"27.0"
"859977894D";"5";"30.0"
"8417626CB6";"5";"33.0"
"72889843E1";"5";"36.0"
"7779757A90";"6";"36.0"
"6841838F50";"5";"37.04"
"7851611A5C";"5";"37.96"
"7847473395";"5";"39.96"
"810123676E";"6";"42.0"
"9279895B9A";"5";"44.0"
"7026208244";"5";"44.96"
"7567918B7D";"5";"45.0"
"8450987716";"5";"49.04"
"9147572F34";"5";"50.96"
"6748810E2E";"5";"52.0"
"7333589D14";"5";"52.0"
"7759602224";"5";"52.0"
"84048215B3";"5";"54.0"
"6722593B3B";"6";"57.0"
"83343635EB";"5";"59.0"
"7367564226";"5";"59.96"
"71060734F2";"5";"60.0"
"7914295AD5";"5";"60.0"
"7654189494";"6";"61.04"
"800914183B";"5";"62.0"
"8094150FDE";"5";"62.0"
"940855378C";"5";"63.04"
"8491069BCB";"5";"64.0"
"7713899ED1";"5";"65.0"
"8694947141";"5";"65.0"
"71817149DE";"5";"66.0"
"9532527A20";"5";"66.0"
"7627781402";"5";"67.04"
"826814511A";"5";"68.0"
"8268158BD1";"5";"68.0"
"89957220A3";"5";"68.0"
"8355979402";"5";"69.0"
"7256224977";"5";"73.04"
"7658003FFA";"5";"73.04"
"6675143642";"6";"76.0"
"9279690271";"5";"77.0"
"7627761381";"5";"77.04"
"86313829BF";"5";"77.96"
"738703454C";"7";"78.96"
"6781732E46";"6";"80.04"
"9379224C7C";"5";"81.0"
"8368013EC4";"6";"85.0"
"84227744FC";"6";"85.04"
"841813833D";"5";"87.04"
"8479315817";"5";"89.04"
"6811377E1A";"5";"90.04"
"7653104535";"5";"91.04"
"860618615C";"8";"91.96"
"77089792B8";"5";"93.0"
"921517287F";"5";"93.0"
"777844932D";"5";"93.96"
"8982483377";"5";"94.0"
"7672288C56";"6";"94.0"
"74152802A3";"5";"95.0"
"72469704D4";"6";"95.0"
"68103617AE";"5";"95.04"
"847676823F";"5";"96.04"
"910700389D";"5";"96.96"
"89839806D3";"5";"97.0"
"727047274A";"5";"98.0"
"7719771C8C";"5";"99.0"
"712149291A";"5";"101.0"
"899685686F";"5";"102.0"
"762426702B";"5";"103.04"
"93277384E7";"5";"104.0"
"702518995A";"5";"105.0"
"7226175C3E";"5";"105.04"
"7017521187";"5";"105.96"
"848169869B";"6";"105.96"
"7155328B73";"6";"106.0"
"7990497EB5";"5";"106.04"
"8313117929";"7";"107.0"
"8997264920";"5";"108.0"
"6816383133";"5";"110.04"
"6886811837";"6";"111.0"
"7379849C0A";"5";"111.96"
"92421374B9";"5";"112.0"
"68161007A7";"5";"112.04"
"714318029D";"5";"112.04"
"757529425E";"6";"112.04"
"7772224225";"5";"112.96"
"8287762D8C";"7";"113.0"
"898186664C";"5";"114.0"
"8076444C6B";"6";"114.0"
"6794374EC8";"5";"114.04"
"6794469D2E";"5";"114.04"
"9274494291";"5";"115.0"
"79368797BE";"5";"116.0"
"8268969914";"5";"116.0"
"7802054AA1";"5";"116.96"
"842132051B";"5";"117.04"
"6633513419";"5";"119.0"
"67618241B0";"5";"119.04"
"74583010B1";"6";"120.0"
"856971508A";"5";"120.96"
"89160182D0";"5";"121.04"
"916354193F";"5";"122.0"
"716452838A";"5";"122.04"
"6755240864";"5";"123.04"
"7684970DDA";"5";"124.0"
"7680951946";"5";"124.96"
"7817415EEC";"6";"124.96"
"7116735382";"6";"125.0"
"7209268C25";"5";"125.04"
"7951340557";"5";"125.04"
"849841169C";"5";"126.0"
"91717152A7";"5";"126.0"
"8806155CFC";"6";"126.04"
"8386730489";"5";"127.04"
"7874039689";"5";"128.0"
"7162537882";"5";"129.04"
"9022775579";"5";"129.96"
"6831952125";"5";"130.04"
"833829745C";"5";"130.04"
"8368188F2E";"5";"130.04"
"66267463CB";"6";"130.96"
"72180077CD";"6";"132.04"
"693399842A";"5";"132.96"
"8295277721";"5";"133.0"
"6760715E7F";"5";"134.04"
"70842056E6";"5";"135.0"
"7358345A61";"6";"135.96"
"8234886AE5";"6";"136.04"
"7065636B45";"5";"137.0"
"9199688EB0";"5";"139.0"
"731100937C";"5";"139.96"
"72476169EB";"5";"140.04"
"6863702A10";"5";"140.96"
"8972801D9D";"5";"140.96"
"80845437EE";"5";"141.0"
"8043438703";"5";"141.04"
"90903298CB";"5";"141.96"
"86908815E1";"5";"142.0"
"67202269EC";"5";"143.04"
"836100793D";"5";"144.04"
"8192113980";"5";"144.96"
"917852459D";"5";"145.0"
"93258059BC";"5";"145.04"
"7566930C2A";"7";"146.04"
"7674520E3D";"5";"147.0"
"67890472D1";"5";"147.04"
"6915001757";"5";"147.96"
"9156965690";"5";"147.96"
"8023279B46";"7";"148.04"
"7352858A5D";"5";"148.96"
"86906306BF";"6";"149.0"
"67174127BD";"6";"149.04"
"8507321F5D";"6";"149.96"
"7799406171";"5";"152.96"
"7440937775";"5";"153.0"
"8463294326";"5";"153.04"
"771168294C";"5";"153.96"
"7526736B07";"5";"154.04"
"7315971242";"5";"154.96"
"8419693676";"5";"155.04"
"725376081C";"5";"156.0"
"9225585993";"7";"156.0"
"8386275D0C";"5";"156.04"
"7968793802";"5";"157.04"
"7475007AE8";"5";"158.0"
"89418220F3";"5";"158.04"
"8347268F73";"6";"158.04"
"7894100167";"7";"158.04"
"6659329C20";"5";"160.0"
"7125301066";"5";"160.04"
"8186381F4C";"5";"160.96"
"7938133295";"5";"161.04"
"8438512066";"5";"161.04"
"8210488509";"5";"162.0"
"92255604F3";"9";"162.0"
"8520903798";"5";"162.96"
"7669538EF6";"5";"163.96"
"821513932A";"5";"163.96"
"9484831A24";"5";"164.04"
"70953525B2";"6";"164.04"
"92741159CC";"6";"164.04"
"8272853E40";"5";"165.0"
"9186478975";"5";"165.0"
"827281708F";"6";"165.0"
"8272859337";"6";"165.0"
"92255794A1";"9";"165.0"
"82151067ED";"5";"165.96"
"92256016C8";"9";"167.0"
"7192888EF0";"5";"167.04"
"7008692B98";"5";"167.96"
"8963974959";"5";"168.96"
"911434536E";"5";"169.04"
"7588684C22";"6";"169.04"
"797700833F";"5";"170.04"
"7349278011";"5";"171.96"
"7830324BC5";"9";"171.96"
"7997592DB0";"5";"172.04"
"8023727CF9";"6";"172.04"
"8328130E46";"5";"173.04"
"7943535C71";"7";"173.04"
"6498156FF4";"5";"174.0"
"7028924394";"7";"174.0"
"795585533D";"5";"174.04"
"8403157885";"5";"174.04"
"6784194DFB";"5";"174.96"
"8959327E84";"5";"175.0"
"6638250930";"9";"175.96"
"7976962D46";"5";"176.04"
"8335717347";"5";"176.04"
"83081061F6";"5";"177.04"
"87643824D3";"5";"178.04"
"7627755E8A";"6";"178.04"
"6925642493";"5";"178.96"
"7750443BE2";"5";"178.96"
"6973867919";"11";"178.96"
"8101110F71";"5";"179.96"
"74441567DC";"7";"179.96"
"8685513810";"5";"180.0"
"9186394425";"5";"181.0"
"748341121E";"6";"181.04"
"7851406133";"5";"181.96"
"67814261C5";"8";"182.04"
"7756360EBE";"5";"182.96"
"680556738D";"5";"183.04"
"8248732CF9";"5";"183.96"
"8609317922";"5";"184.96"
"94679320A8";"5";"185.0"
"6808004E9D";"6";"185.04"
"725226131A";"5";"187.0"
"74803872A2";"8";"187.04"
"7296517C4C";"5";"187.96"
"682299733E";"5";"188.0"
"8331561DA0";"5";"188.04"
"773723584D";"5";"188.96"
"7742108D9F";"5";"188.96"
"6996471683";"8";"188.96"
"7323238F29";"7";"189.96"
"9339618098";"5";"190.04"
"6830984253";"5";"190.96"
"68609391F9";"5";"190.96"
"7802222546";"6";"190.96"
"718225477E";"5";"191.0"
"7078845FAD";"5";"191.04"
"8407425A95";"5";"191.04"
"79366499F0";"7";"191.04"
"7936885CB0";"7";"191.04"
"836160029B";"7";"191.04"
"6841800FF4";"5";"191.96"
"7821418650";"5";"191.96"
"9151789731";"5";"191.96"
"87668823E4";"5";"192.04"
"72603251BA";"5";"192.96"
"82073821E3";"5";"192.96"
"868334287F";"5";"192.96"
"7421102719";"6";"192.96"
"6781438BA9";"8";"193.04"
"717783372B";"5";"194.0"
"8148148072";"8";"194.96"
"7183250D69";"5";"195.04"
"8316822A9F";"6";"196.04"
"7688240859";"6";"197.0"
"89895814EB";"5";"198.96"
"6568067C57";"7";"198.96"
"7171465023";"5";"199.04"
"7171294305";"6";"199.04"
"784738287B";"5";"199.96"
"7136189973";"5";"201.04"
"7835964A0C";"13";"201.96"
"7417146681";"5";"202.96"
"928991585F";"5";"203.04"
"766861661D";"5";"203.96"
"78333637A3";"10";"203.96"
"66363308C1";"5";"204.04"
"7968913B08";"5";"204.04"
"91741468C5";"7";"204.04"
"7575290F0D";"5";"205.04"
"72902031D5";"6";"205.96"
"729146319E";"6";"205.96"
"7291475B82";"6";"205.96"
"7143761212";"5";"206.04"
"9129147A6B";"5";"206.04"
"7849344B92";"5";"207.04"
"715361235F";"6";"208.04"
"84808391BE";"5";"210.0"
"8482409159";"5";"210.0"
"7552407B68";"5";"210.04"
"8150957E7D";"5";"210.96"
"7094762ECD";"9";"211.04"
"736739028F";"5";"211.96"
"681012441B";"9";"212.0"
"81088556D4";"5";"212.96"
"80757331B2";"8";"212.96"
"7794486553";"9";"212.96"
"7950174321";"7";"213.04"
"8986099B79";"6";"213.96"
"7119711B5F";"5";"214.04"
"8879247A6A";"5";"214.04"
"7803414CEF";"5";"214.96"
"69906502E0";"6";"214.96"
"7522242E75";"6";"215.04"
"6950682C3A";"11";"215.96"
"7937201179";"5";"216.04"
"8197857D98";"5";"216.96"
"7330411E82";"6";"216.96"
