"case_id";"case_id_length";"duration_dd"
"8142795EFE";"5";"10.0"
"9272556347";"5";"17.0"
"93118394A2";"5";"18.0"
"8495550DA1";"5";"19.0"
"7895123D98";"5";"20.0"
"902041491C";"5";"21.0"
"887057453C";"5";"22.0"
"7890876CDC";"7";"24.0"
"6798675C15";"6";"26.0"
"9105671D68";"5";"28.0"
"8124335D52";"5";"29.0"
"84206647C1";"5";"29.0"
"8426914D69";"5";"29.0"
"8346492F13";"5";"31.0"
"9439531368";"9";"32.04"
"8441978C9E";"5";"33.0"
"711478497C";"5";"34.0"
"89150747CB";"5";"34.0"
"8690425D91";"5";"35.0"
"7884664690";"7";"35.0"
"7455137DA9";"5";"36.0"
"8927625D33";"5";"36.04"
"9110638052";"5";"36.96"
"75511573E2";"5";"37.0"
"93635738E0";"5";"37.0"
"94303391EE";"5";"38.04"
"8343972F81";"5";"39.0"
"8873154651";"5";"39.0"
"8432226D03";"5";"39.04"
"94195380AA";"5";"39.04"
"8212707C34";"5";"39.96"
"659087521C";"5";"40.0"
"65908995E9";"5";"40.0"
"7064257949";"5";"40.0"
"833087792D";"5";"40.0"
"90462490D6";"5";"40.0"
"8880220D5B";"6";"40.0"
"7609279FA9";"5";"41.0"
"7891461F9D";"5";"41.0"
"84200805D3";"5";"41.0"
"869014240A";"5";"41.0"
"8690230CA6";"5";"41.0"
"8690277372";"5";"41.0"
"8690357576";"5";"41.0"
"8690474603";"5";"41.0"
"8690505F95";"5";"41.0"
"8690650740";"5";"41.0"
"8690968DAA";"5";"41.0"
"8877098D00";"5";"41.0"
"909550040B";"5";"41.0"
"8048156C6C";"5";"41.04"
"86903900B3";"5";"42.0"
"8690454582";"5";"42.0"
"8690946B83";"5";"42.0"
"9517792A6B";"5";"42.0"
"7278485BD2";"6";"42.0"
"8690678E59";"7";"42.0"
"7793025FA8";"5";"42.96"
"8119758C43";"5";"43.0"
"9090602A14";"5";"43.0"
"92599608B9";"5";"43.0"
"9342103347";"5";"43.0"
"8048759E08";"5";"43.04"
"867323866A";"5";"43.96"
"8221665C94";"9";"43.96"
"8520002013";"5";"44.0"
"7900380FCE";"6";"44.0"
"935155072F";"6";"44.0"
"746268634E";"10";"44.0"
"8438766201";"5";"44.04"
"94064228FD";"5";"45.0"
"75587730CF";"7";"45.0"
"68173807F1";"5";"45.04"
"6921675AE5";"5";"46.0"
"7951173B85";"5";"46.0"
"8435373203";"5";"46.04"
"8470419AE0";"5";"46.04"
"6631823178";"5";"46.96"
"6860312C8B";"5";"47.0"
"7503434D9B";"5";"47.0"
"801378723D";"5";"47.0"
"8502189451";"5";"47.0"
"83721504BD";"7";"47.0"
"8372099AA5";"9";"47.0"
"69740174E3";"5";"47.96"
"6729293441";"5";"48.0"
"7258921B19";"5";"48.0"
"78838284AD";"5";"48.0"
"8841421B69";"5";"48.0"
"7011344819";"5";"48.96"
"70113740DD";"5";"48.96"
"7185552916";"5";"49.0"
"7212900161";"5";"49.0"
"8412832895";"5";"49.0"
"9233145849";"5";"49.0"
"874199065C";"9";"49.0"
"8434936961";"5";"49.04"
"7214320532";"6";"49.04"
"70398002BD";"5";"50.0"
"9005186293";"7";"50.0"
"8664547261";"5";"50.96"
"8680391542";"5";"50.96"
"8625273871";"6";"50.96"
"92134478FB";"5";"51.0"
"80321969D1";"5";"51.04"
"7011310C09";"5";"51.96"
"684130142E";"5";"52.0"
"7656634641";"5";"52.0"
"82855067D8";"5";"52.0"
"92687259D4";"5";"52.0"
"840322724B";"6";"52.0"
"790926324E";"7";"52.0"
"7637579991";"5";"52.04"
"8434899AD8";"5";"52.04"
"7138491520";"5";"53.0"
"7990242C47";"5";"53.0"
"78695183B1";"6";"53.0"
"87044703E1";"8";"53.0"
"8303352ED2";"5";"53.96"
"8359080309";"5";"54.0"
"76343332E4";"5";"54.04"
"71356279AC";"5";"55.0"
"8410832622";"5";"55.0"
"92634844D3";"5";"55.0"
"9468467A24";"5";"55.0"
"794056270D";"5";"55.96"
"67826113A9";"5";"56.0"
"713561609B";"5";"56.0"
"7703873D1A";"5";"56.0"
"7891743856";"5";"56.0"
