"case_id";"case_id_length";"duration_dd"
"929850483D";"5";"19.0"
"6623271023";"5";"20.96"
"9109839CF3";"5";"22.0"
"9108379820";"5";"25.0"
"92979406D0";"5";"25.0"
"6823105C5B";"5";"25.04"
"90924352BA";"5";"26.0"
"91898464D3";"5";"28.0"
"90992087FA";"5";"29.0"
"81545546D6";"5";"36.0"
"7664647AC9";"5";"39.04"
"6633865693";"5";"39.96"
"74612935C3";"5";"41.0"
"8696626ACC";"5";"41.0"
"8642921C07";"5";"42.96"
"7093751C80";"5";"43.0"
"7921087FC3";"5";"43.0"
"74090659D9";"5";"44.96"
"772280002C";"5";"45.0"
"8452066183";"5";"45.04"
"90191462BB";"5";"47.0"
"676236829C";"5";"49.0"
"9202939981";"5";"49.0"
"775994090F";"5";"50.0"
"840275197A";"5";"50.0"
"8402764436";"5";"50.0"
"761779427A";"5";"50.04"
"682307539C";"5";"51.04"
"6823431962";"5";"51.04"
"6830859B29";"5";"51.04"
"6830864F48";"5";"51.04"
"9201274B80";"5";"52.0"
"7251154194";"6";"52.04"
"68232281DF";"5";"54.04"
"68232850E9";"5";"54.04"
"6823304097";"5";"54.04"
"6823651EED";"5";"54.04"
"75005956CC";"5";"55.0"
"7500605F0A";"5";"55.0"
"8619653AAB";"5";"55.96"
"91439523E6";"5";"55.96"
"879046485E";"5";"56.0"
"6816595026";"5";"56.04"
"727392699E";"5";"58.0"
"840947022E";"5";"58.0"
"7297912B7D";"5";"60.0"
"8632126FB5";"5";"62.96"
"8482628611";"5";"63.04"
"7607576251";"5";"64.04"
"840951574F";"5";"65.0"
"796706887E";"5";"66.0"
"924895926B";"5";"66.0"
"8573637512";"5";"67.0"
"86953795BF";"5";"69.0"
"9204256854";"5";"69.0"
"92529965DA";"5";"70.0"
"7598564560";"5";"72.0"
"68355656AE";"5";"72.04"
"76962992DA";"5";"73.0"
"90927674B3";"5";"73.96"
"91508819E2";"5";"74.0"
"9462089AD9";"5";"74.04"
"885094922D";"5";"76.0"
"874375895B";"5";"77.0"
"8973084729";"5";"79.0"
"8745180ED2";"5";"80.0"
"874959388D";"6";"80.0"
"93680642F9";"5";"80.04"
"9417326F3F";"5";"80.04"
"89347748BF";"5";"81.04"
"9272412C6F";"5";"82.0"
