;feature_name;feature_importance_value
73;duration_partial_dd;139.5906530695542
1;contract_end;46.64277147618823
12;tender_amount;43.71465236162339
11;variant;30.33595318301545
7;status;13.88396539711291
9;suspension;10.76746942000062
18;region_centrale;4.482554194681898
6;reprise;4.46899944406068
8;subcontract;3.9101906129237856
5;publication_it;3.717149690504218
36;region_veneto;2.726039482903099
23;region_lombardia;2.2700647616879013
13;framework;2.0140746648037537
19;region_emilia_romagna;1.7768761253297465
33;region_toscana;1.68261337039042
24;region_marche;1.373965550254959
28;region_provincia_autonoma_di_bolzano;1.3699816281976276
30;region_puglia;1.1787558858906968
20;region_friuli_venezia_giulia;1.1624124480680857
17;region_campania;1.0211010004615144
29;region_provincia_autonoma_di_trento;1.0042521415825747
32;region_sicilia;0.7715554255251602
54;cpv_45;0.6365137488577776
27;region_piemonte;0.621547260754165
21;region_lazio;0.5770083810715003
31;region_sardegna;0.4923632888571414
15;region_basilicata;0.474110026241136
10;testing;0.3904202857286265
4;publication_eu;0.37980935334118904
37;sector_ordinari;0.3689415107202682
35;region_valle_daosta;0.3603960305124213
38;sector_speciali;0.3314869909407275
56;cpv_50;0.32249481426058824
34;region_umbria;0.3116875265945714
16;region_calabria;0.30450238684179076
14;region_abruzzo;0.2652633031125635
25;region_molise;0.23978594104208525
26;region_non_classificato;0.2055225529279082
45;cpv_34;0.16389218530304214
43;cpv_32;0.1322110943987793
2;contract_start;0.12959626758428608
53;cpv_44;0.12490585671158837
70;cpv_90;0.07333693930213242
22;region_liguria;0.061952361451718826
51;cpv_42;0.05870195890551959
67;cpv_79;0.05331143981283407
66;cpv_77;0.04493655463053352
72;cpv_98;0.03851340883710205
50;cpv_41;0.03259827994236988
0;award;0.03252665922213568
42;cpv_31;0.0320540603980278
69;cpv_9;0.02771929700263949
49;cpv_39;0.02592393547631823
46;cpv_35;0.02226408238816052
71;cpv_92;0.016864140882576737
62;cpv_71;0.0167590560176318
47;cpv_37;0.015286776317678313
60;cpv_65;0.013262895118630304
68;cpv_85;0.010778814971321377
52;cpv_43;0.008704779542016533
59;cpv_63;0.007663931674157825
57;cpv_51;0.00704093923384623
61;cpv_70;0.0070054351398926885
63;cpv_72;0.0028472895188106817
39;cpv_14;0.0018547537473673297
64;cpv_75;0.0018377021652348808
44;cpv_33;0.0017694612573855655
40;cpv_24;0.0010662540853856686
58;cpv_60;0.0007657413325535221
55;cpv_48;0.0006615850128155991
41;cpv_3;0.0
48;cpv_38;0.0
3;creation;0.0
65;cpv_76;0.0
