;feature_name;feature_importance_value
73;duration_partial_dd;148.46027749445625
1;contract_end;40.69622084078702
12;tender_amount;37.07452746000724
11;variant;18.575441694723473
7;status;13.272254799160674
9;suspension;12.875329765989171
8;subcontract;3.6593335448436823
6;reprise;3.646906765921553
18;region_centrale;3.616189683346332
5;publication_it;3.5423896217349196
36;region_veneto;2.1868581291684075
23;region_lombardia;1.6247522545778423
19;region_emilia_romagna;1.5006335413016174
13;framework;1.3525497269523883
33;region_toscana;1.2888403000476927
24;region_marche;1.1468823962499057
30;region_puglia;1.142214684020536
10;testing;0.9080565318003723
28;region_provincia_autonoma_di_bolzano;0.8876302760118718
32;region_sicilia;0.8844461584620785
29;region_provincia_autonoma_di_trento;0.684291171628099
21;region_lazio;0.6593441518590466
17;region_campania;0.6447344952885128
20;region_friuli_venezia_giulia;0.5912885727373881
54;cpv_45;0.575485363934494
16;region_calabria;0.46319579257522053
31;region_sardegna;0.4505098916002695
27;region_piemonte;0.4466548485301636
4;publication_eu;0.3499300688200312
38;sector_speciali;0.3393303336486979
35;region_valle_daosta;0.32709780979068565
15;region_basilicata;0.2930871500161435
37;sector_ordinari;0.28691331651957414
34;region_umbria;0.25744178035178356
14;region_abruzzo;0.24483295829929644
56;cpv_50;0.23252388721500825
26;region_non_classificato;0.22412172983848402
25;region_molise;0.21373674045233193
45;cpv_34;0.13834146594667543
53;cpv_44;0.13175867581997738
43;cpv_32;0.11540321794639335
51;cpv_42;0.06847987844799844
2;contract_start;0.05374933026657318
66;cpv_77;0.04196209288931784
70;cpv_90;0.04170680316054412
22;region_liguria;0.040784091796463376
67;cpv_79;0.03811582698019412
0;award;0.027812922942638204
62;cpv_71;0.026030451935641113
42;cpv_31;0.025708002040465902
72;cpv_98;0.024737125128944878
46;cpv_35;0.02294762771809358
69;cpv_9;0.021564148896755328
71;cpv_92;0.020856023050785547
50;cpv_41;0.018914682173135293
49;cpv_39;0.018498350741146245
52;cpv_43;0.01372396192571991
60;cpv_65;0.012906231616012533
47;cpv_37;0.012802550318209685
57;cpv_51;0.0111471444969026
48;cpv_38;0.010670527573322501
68;cpv_85;0.007879095570640746
63;cpv_72;0.004445322242410592
59;cpv_63;0.0028236683109106346
61;cpv_70;0.0022333266096299107
44;cpv_33;0.0021493364600735747
39;cpv_14;0.0021068668318913525
41;cpv_3;0.0017499353327140859
58;cpv_60;0.0016757063343786857
64;cpv_75;0.0012945587059687684
40;cpv_24;0.0010922378467474723
55;cpv_48;0.0006325320396467723
65;cpv_76;0.0005373727137623933
3;creation;0.0
