;feature_name;feature_importance_value
73;duration_partial_dd;138.07537332995827
12;tender_amount;43.8555288504075
1;contract_end;39.35134934007214
11;variant;25.999175433029894
7;status;16.567872641222547
9;suspension;13.343819050232144
6;reprise;4.913619238933844
18;region_centrale;4.764072666064521
8;subcontract;4.463476075990796
5;publication_it;3.8576967005827862
36;region_veneto;2.336580376067217
23;region_lombardia;2.0675318431958623
19;region_emilia_romagna;1.9082447131383247
13;framework;1.6377892565170384
33;region_toscana;1.6194160732613434
29;region_provincia_autonoma_di_trento;1.1562122748067807
28;region_provincia_autonoma_di_bolzano;1.1517630088033661
0;award;1.1361129919065687
30;region_puglia;0.9450083517025852
24;region_marche;0.8507238124033982
20;region_friuli_venezia_giulia;0.7900166910117294
21;region_lazio;0.6771436284313351
32;region_sicilia;0.6473716812992336
17;region_campania;0.6383166506825383
27;region_piemonte;0.5860273765947033
54;cpv_45;0.5732895391458963
31;region_sardegna;0.47799046105233645
38;sector_speciali;0.40209060282384274
35;region_valle_daosta;0.37407802038370763
10;testing;0.34597049028907173
16;region_calabria;0.3339143912360953
37;sector_ordinari;0.31271013363749106
15;region_basilicata;0.2954678338130838
4;publication_eu;0.28137212420067675
34;region_umbria;0.272754229995284
56;cpv_50;0.25947691826247615
14;region_abruzzo;0.25780505218342514
2;contract_start;0.23771103852752323
25;region_molise;0.22063866437565585
26;region_non_classificato;0.20404432092758473
45;cpv_34;0.15309231290965394
43;cpv_32;0.14410802935366834
53;cpv_44;0.12552194424936247
70;cpv_90;0.060119883259826
22;region_liguria;0.05064053738698026
51;cpv_42;0.04989176116898418
66;cpv_77;0.04835062060670373
50;cpv_41;0.03911558137694724
62;cpv_71;0.03220232210329487
72;cpv_98;0.031875544913766554
42;cpv_31;0.02988183489114794
69;cpv_9;0.02416266642758383
49;cpv_39;0.02389633098879256
71;cpv_92;0.019189205451164173
46;cpv_35;0.017695178019796417
67;cpv_79;0.01647819580382826
47;cpv_37;0.013334401476958163
52;cpv_43;0.012168968280691955
60;cpv_65;0.011606947965132937
57;cpv_51;0.011529316529850222
59;cpv_63;0.007271498295169018
68;cpv_85;0.006657907678730748
48;cpv_38;0.00548760061736375
64;cpv_75;0.0028325792109467666
39;cpv_14;0.0013159314146735217
63;cpv_72;0.0012201009236854838
40;cpv_24;0.0009407950104375397
58;cpv_60;0.000781873232148857
55;cpv_48;0.0006622748184994802
65;cpv_76;0.0
3;creation;0.0
61;cpv_70;0.0
44;cpv_33;0.0
41;cpv_3;0.0
