;feature_name;feature_importance_value
1;tender_amount;103.5454089178535
25;region_veneto;8.481243259825014
7;region_centrale;7.715055351012851
8;region_emilia_romagna;5.695177269931472
12;region_lombardia;4.781512148184472
2;framework;4.195078424949819
13;region_marche;3.90258793005189
9;region_friuli_venezia_giulia;2.9006765826545347
19;region_puglia;2.8477924678693824
22;region_toscana;2.3094944571830642
17;region_provincia_autonoma_di_bolzano;1.868588201904689
21;region_sicilia;1.5990007036825689
10;region_lazio;1.4684679175224546
16;region_piemonte;1.1504785176373922
6;region_campania;1.1270307457949869
43;cpv_45;0.9919377652939847
18;region_provincia_autonoma_di_trento;0.8578191659747931
20;region_sardegna;0.7598437058678975
5;region_calabria;0.7321189027751135
3;region_abruzzo;0.7002049036211034
27;sector_speciali;0.6581574784303778
26;sector_ordinari;0.6369068168766777
45;cpv_50;0.6082680007300969
4;region_basilicata;0.5574857526399223
23;region_umbria;0.5399808508343601
24;region_valle_daosta;0.41091305488281704
34;cpv_34;0.3715375362471003
15;region_non_classificato;0.3221374853309396
14;region_molise;0.29131327453083317
42;cpv_44;0.2098572177881526
32;cpv_32;0.16043303072951398
40;cpv_42;0.14045297226565362
59;cpv_90;0.10804524114795144
56;cpv_79;0.10261241931078258
55;cpv_77;0.09095355695118902
61;cpv_98;0.08743963194591024
58;cpv_9;0.07299855120945177
38;cpv_39;0.0567383826451614
39;cpv_41;0.04765227818172666
11;region_liguria;0.043929716427625054
31;cpv_31;0.043277536070257645
60;cpv_92;0.04171137867858461
51;cpv_71;0.04015535275709272
35;cpv_35;0.04006236371372477
49;cpv_65;0.023872152011824698
36;cpv_37;0.022284854499862717
53;cpv_75;0.020307900532973655
57;cpv_85;0.019551814347483116
41;cpv_43;0.018760476480994645
46;cpv_51;0.013009701223753863
50;cpv_70;0.012997151223523793
52;cpv_72;0.01250859645253042
48;cpv_63;0.01184755780859835
33;cpv_33;0.010998472827812193
37;cpv_38;0.008433164834852517
47;cpv_60;0.002168322187458859
29;cpv_24;0.0014602131053068571
44;cpv_48;0.0012253289145787276
30;cpv_3;0.0007263773304409168
0;event_0_creation;0.0
54;cpv_76;0.0
28;cpv_14;0.0
62;duration_partial_dd;0.0
